OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
30998722,497763,94.5,2019/03/22 04:00:00+00,,routine
30998723,BD0A7592-AB43-52DE-C8289FEB2491725F,97,2018/11/21 05:00:00+00,,routine
30998724,165CCE00-EC65-1522-3527107131974260,97.5,2018/11/21 05:00:00+00,,followup
30998725,528014,97.5,2018/11/21 05:00:00+00,,routine
30998726,B6B0BA5D-3048-94EE-98478BD231A27421,98,2018/11/21 05:00:00+00,,routine
30998727,13092C0D-1041-1333-F4A614B161E3451A,98.5,2018/11/21 05:00:00+00,,routine
30998728,495454,98.5,2018/11/21 05:00:00+00,,routine
30998729,526554,98.5,2018/11/21 05:00:00+00,,routine
30998730,4AC07869-A871-4D6A-8E9364532DA501B9,99.5,2018/11/21 05:00:00+00,,routine
30998731,721C0BA1-A335-B733-30F35681778C1A94,99.5,2018/11/21 05:00:00+00,,routine
30998732,503835,99,2018/11/21 05:00:00+00,,routine
30998733,DA8F7FFF-5056-A20F-9E96399838811FCA,88,2018/11/27 05:00:00+00,,routine
30998734,972DF423-5056-A20F-9E6F3DBB995396D4,87.5,2019/07/15 04:00:00+00,,routine
30998735,A799E236-F115-4AA0-947D1D2EAB69FDBC,86.5,2019/07/12 04:00:00+00,,followup
30998736,4C9BE68D-0A79-4BF6-6F639DD656B9098B,95,2018/11/26 05:00:00+00,,routine
30998737,229243AD-BDB1-D108-8B281A24E6E770AC,95.5,2018/11/26 05:00:00+00,,routine
30998738,1ACED7E5-0774-3EEF-D8658A530CE70A95,96,2018/11/26 05:00:00+00,,routine
30998739,BAF57704-1422-201B-194EA2F8D7034481,96,2018/11/26 05:00:00+00,,followup
30998740,500166,96,2018/11/26 05:00:00+00,,routine
30998741,501502,96,2018/11/26 05:00:00+00,,routine
30998742,0ADF44D6-945D-E172-89AC65F2DFE2C98B,96.5,2018/11/26 05:00:00+00,,routine
30998743,C79C3F09-5056-A20B-FA2FBD2D5D8F8C50,96.5,2018/11/26 05:00:00+00,,routine
30998744,A514002E-AF0F-38D2-1EAD91EF1380AAFC,97,2018/11/26 05:00:00+00,,routine
30998745,581C68B0-C10E-B324-2E1BC857D5B20CE5,97.5,2018/11/26 05:00:00+00,,routine
30998746,193677FB-AA9D-CFFE-E626122C5F6C331D,92.5,2019/08/26 04:00:00+00,,routine
30998747,495341,90,2019/09/11 04:00:00+00,,routine
30998748,D96A9C27-BFF8-7554-D7EFBA741B6C722C,90.5,2019/09/11 04:00:00+00,,routine
30998749,AE1442A9-5056-A20B-FAE4EDB428BA87B9,98,2018/12/17 05:00:00+00,,routine
30998750,500348,98.5,2018/12/17 05:00:00+00,,routine
30998751,092CE332-5056-A20F-9E7DFF0F18022DB7,98.5,2018/12/17 05:00:00+00,,routine
30998752,3B69E29D-94F4-B972-396E696B95BE9A80,90,2018/12/18 05:00:00+00,,routine
30998753,499745,91,2018/12/18 05:00:00+00,,routine
30998754,9F249CF8-5056-A20F-9E665E153C9DD3DE,90.5,2018/12/18 05:00:00+00,,followup
